# LF_DEM version v3.0-126-gb72fb1a
# np 1000
# VF 0.76
# Lx 73.993
# Ly 0
# Lz 73.993
# flow_type shear
# data in cl units.
#1: time
#2: cumulated strain
#3: shear rate
#4-9: total stress tensor (xx, xy, xz, yz, yy, zz)
#10-15: contact stress tensor (xx, xy, xz, yz, yy, zz)
#16-21: dashpot stress tensor (xx, xy, xz, yz, yy, zz)
#22-27: hydro stress tensor (xx, xy, xz, yz, yy, zz)
#28-33: repulsion stress tensor (xx, xy, xz, yz, yy, zz)

1.9792 0.104367 0.0321388 -45.6153 0 20 0 0 -47.529  -45.6538 0 19.6988 0 0 -47.5941  -0.0337877 0 0.054067 0 0 -0.0297841  0.0723643 0 0.247085 0 0 0.0948346  0 0 0 0 0 0  
2.07345 0.107499 0.0319184 -45.8709 0 20 0 0 -47.8415  -45.9057 0 19.7003 0 0 -47.9046  -0.0304579 0 0.054233 0 0 -0.0296095  0.0652356 0 0.245465 0 0 0.0927165  0 0 0 0 0 0  
2.1677 0.110509 0.0317448 -46.2646 0 20 0 0 -48.4998  -46.2984 0 19.7024 0 0 -48.5678  -0.0344094 0 0.0538657 0 0 -0.0285077  0.0682466 0 0.243779 0 0 0.0965138  0 0 0 0 0 0  
2.26195 0.113487 0.0314261 -47.067 0 20 0 0 -49.0889  -47.0845 0 19.7066 0 0 -49.1493  -0.036119 0 0.0528064 0 0 -0.0232094  0.0536915 0 0.240594 0 0 0.0836601  0 0 0 0 0 0  
2.35619 0.11637 0.0298832 -47.9232 0 20 0 0 -49.6373  -47.9425 0 19.7233 0 0 -49.6994  -0.0332575 0 0.048913 0 0 -0.0182741  0.0525618 0 0.22783 0 0 0.0803775  0 0 0 0 0 0  
2.45044 0.119089 0.0297471 -48.6068 0 20 0 0 -49.9011  -48.6256 0 19.7315 0 0 -49.9662  -0.0294522 0 0.0475688 0 0 -0.0163497  0.0482744 0 0.220926 0 0 0.0813986  0 0 0 0 0 0  
2.54469 0.121756 0.0276546 -49.2278 0 20 0 0 -50.0075  -49.249 0 19.7513 0 0 -50.06  -0.0278602 0 0.0442628 0 0 -0.0156067  0.0491428 0 0.204458 0 0 0.0681555  0 0 0 0 0 0  
2.63894 0.12443 0.0281909 -49.7564 0 20 0 0 -50.0219  -49.7822 0 19.7405 0 0 -50.0847  -0.0304094 0 0.0466319 0 0 -0.0167309  0.0562719 0 0.212917 0 0 0.0794833  0 0 0 0 0 0  
2.73319 0.12708 0.028174 -50.0062 0 20 0 0 -50.1896  -50.0388 0 19.7484 0 0 -50.2509  -0.0246987 0 0.0446886 0 0 -0.0119577  0.0572785 0 0.206924 0 0 0.0732504  0 0 0 0 0 0  
2.82743 0.129741 0.028909 -50.3819 0 20 0 0 -50.3315  -50.4147 0 19.7399 0 0 -50.3876  -0.0275258 0 0.0457261 0 0 -0.0149506  0.060348 0 0.21434 0 0 0.0710455  0 0 0 0 0 0  
2.92168 0.132493 0.0289003 -50.8333 0 20 0 0 -50.5673  -50.8543 0 19.7375 0 0 -50.6147  -0.0285897 0 0.0493198 0 0 -0.0195619  0.0495755 0 0.21321 0 0 0.067014  0 0 0 0 0 0  
3.01593 0.135213 0.0279342 -51.3747 0 20 0 0 -50.7949  -51.3944 0 19.7497 0 0 -50.8459  -0.0303777 0 0.0481703 0 0 -0.0194392  0.0499908 0 0.20213 0 0 0.0704758  0 0 0 0 0 0  
3.11018 0.137872 0.0275589 -52.0932 0 20 0 0 -51.5592  -52.1075 0 19.7601 0 0 -51.598  -0.0276411 0 0.0480478 0 0 -0.0229962  0.0418628 0 0.191901 0 0 0.0618809  0 0 0 0 0 0  
3.20442 0.140379 0.0268585 -52.537 0 20 0 0 -51.8728  -52.5491 0 19.7671 0 0 -51.9083  -0.0274484 0 0.0461134 0 0 -0.0224633  0.0394905 0 0.186774 0 0 0.0579903  0 0 0 0 0 0  
3.29867 0.142816 0.0247036 -53.0823 0 20 0 0 -52.1756  -53.0939 0 19.7807 0 0 -52.2036  -0.0244023 0 0.0431601 0 0 -0.0198467  0.036017 0 0.176116 0 0 0.0478125  0 0 0 0 0 0  
3.39292 0.145065 0.0235888 -53.5327 0 20 0 0 -52.5728  -53.5486 0 19.7938 0 0 -52.6041  -0.0256521 0 0.0406772 0 0 -0.0188232  0.0415245 0 0.165566 0 0 0.0500721  0 0 0 0 0 0  
